step,time_s,vehicle_id_leader,leader_lane_pos_m,vehicle_id_follower,follower_lane_pos_m,leader_speed_mps,follower_speed_mps,gap_m,safe_dist_m,action
5,0.600,leader,4.741471552562045,,,,,,,"Vehicles present: ('leader',)"
6,0.700,leader,4.7977764008368675,,,,,,,"Vehicles present: ('leader',)"
7,0.800,leader,4.861617170720888,,,,,,,"Vehicles present: ('leader',)"
8,0.900,leader,4.934544159179347,,,,,,,"Vehicles present: ('leader',)"
9,1.000,leader,5.01521024600562,,,,,,,"Vehicles present: ('leader',)"
10,1.100,leader,5.102498479571574,,,,,,,"Vehicles present: ('leader',)"
11,1.200,leader,5.199757355978853,,,,,,,"Vehicles present: ('leader',)"
12,1.300,leader,5.303651212876329,,,,,,,"Vehicles present: ('leader',)"
13,1.400,leader,5.415214245323915,,,,,,,"Vehicles present: ('leader',)"
14,1.500,leader,5.534516719695995,,,,,,,"Vehicles present: ('leader',)"
15,1.600,leader,5.6609878159324785,,,,,,,"Vehicles present: ('leader',)"
16,1.700,leader,5.7961363346535775,,,,,,,"Vehicles present: ('leader',)"
17,1.800,leader,5.940983567372754,,,,,,,"Vehicles present: ('leader',)"
18,1.900,leader,6.091452880857829,,,,,,,"Vehicles present: ('leader',)"
19,2.000,leader,6.250312374175834,,,,,,,"Vehicles present: ('leader',)"
20,2.100,leader,6.415753833956385,,,,,,,"Vehicles present: ('leader',)"
21,2.200,leader,6.5909643069874155,,,,,,,"Vehicles present: ('leader',)"
22,2.300,leader,6.773609948199992,,,,,,,"Vehicles present: ('leader',)"
23,2.400,leader,6.964720270634672,,,,,,,"Vehicles present: ('leader',)"
24,2.500,leader,7.162663209782716,,,,,,,"Vehicles present: ('leader',)"
25,2.600,leader,7.365910953356446,,,,,,,"Vehicles present: ('leader',)"
26,2.700,leader,7.575037158567943,,,,,,,"Vehicles present: ('leader',)"
27,2.800,leader,7.789725238063617,,,,,,,"Vehicles present: ('leader',)"
28,2.900,leader,8.012430428288415,,,,,,,"Vehicles present: ('leader',)"
29,3.000,leader,8.242414051689902,,,,,,,"Vehicles present: ('leader',)"
30,3.100,leader,8.481214087416639,,,,,,,"Vehicles present: ('leader',)"
31,3.200,leader,8.729852035868428,,,,,,,"Vehicles present: ('leader',)"
32,3.300,leader,8.98698117385476,,,,,,,"Vehicles present: ('leader',)"
33,3.400,leader,9.250287801335531,,,,,,,"Vehicles present: ('leader',)"
34,3.500,leader,9.52279889606261,,,,,,,"Vehicles present: ('leader',)"
35,3.600,leader,9.800527039265441,,,,,,,"Vehicles present: ('leader',)"
36,3.700,leader,10.088106068025516,,,,,,,"Vehicles present: ('leader',)"
37,3.800,leader,10.382259742857121,,,,,,,"Vehicles present: ('leader',)"
38,3.900,leader,10.68475687966651,,,,,,,"Vehicles present: ('leader',)"
39,4.000,leader,10.996607138386144,,,,,,,"Vehicles present: ('leader',)"
40,4.100,leader,11.317830486328715,,,,,,,"Vehicles present: ('leader',)"
41,4.200,leader,11.647,follower,4.600,3.292,0.000,7.047,5.000,Leader: cruise | Follower: follow
42,4.300,leader,11.981,follower,4.630,3.343,0.296,7.352,5.306,Leader: cruise | Follower: follow
43,4.400,leader,12.325,follower,4.689,3.432,0.591,7.636,5.630,Leader: cruise | Follower: follow
44,4.500,leader,12.675,follower,4.777,3.504,0.880,7.898,5.966,Leader: cruise | Follower: follow
45,4.600,leader,13.031,follower,4.894,3.563,1.175,8.137,6.328,Leader: cruise | Follower: follow
46,4.700,leader,13.394,follower,5.036,3.630,1.422,8.358,6.647,Leader: cruise | Follower: follow
47,4.800,leader,13.764,follower,5.203,3.700,1.663,8.561,6.970,Leader: cruise | Follower: follow
48,4.900,leader,14.140,follower,5.390,3.753,1.868,8.750,7.256,Leader: cruise | Follower: follow
49,5.000,leader,14.523,follower,5.601,3.838,2.115,8.922,7.612,Leader: cruise | Follower: follow
50,5.100,leader,14.914,follower,5.841,3.909,2.395,9.074,8.032,Leader: cruise | Follower: follow
51,5.200,leader,15.310,follower,6.107,3.961,2.660,9.204,8.446,Leader: cruise | Follower: follow
52,5.300,leader,15.713,follower,6.384,4.029,2.778,9.329,8.636,Leader: cruise | Follower: follow
53,5.400,leader,16.126,follower,6.672,4.128,2.877,9.454,8.797,Leader: cruise | Follower: follow
54,5.500,leader,16.546,follower,6.963,4.200,2.907,9.583,8.846,Leader: cruise | Follower: follow
55,5.600,leader,16.976,follower,7.276,4.297,3.135,9.699,9.226,Leader: cruise | Follower: follow
56,5.700,leader,17.410,follower,7.600,4.347,3.237,9.810,9.401,Leader: cruise | Follower: follow
57,5.800,leader,17.853,follower,7.937,4.430,3.369,9.917,9.630,Leader: cruise | Follower: follow
58,5.900,leader,18.304,follower,8.283,4.502,3.460,10.021,9.790,Leader: cruise | Follower: follow
59,6.000,leader,18.763,follower,8.642,4.593,3.587,10.121,10.017,Leader: cruise | Follower: follow
60,6.100,leader,19.232,follower,9.000,4.689,3.589,10.231,10.020,Leader: cruise | Follower: follow
61,6.200,leader,19.709,follower,9.377,4.771,3.764,10.332,10.339,Leader: cruise | Follower: brake (too close)
62,6.300,leader,20.195,follower,9.742,4.861,3.648,10.453,10.126,Leader: cruise | Follower: follow
63,6.400,leader,20.689,follower,10.127,4.940,3.856,10.562,10.507,Leader: cruise | Follower: follow
64,6.500,leader,21.187,follower,10.533,4.981,4.056,10.654,10.883,Leader: cruise | Follower: brake (too close)
65,6.600,leader,21.683,follower,10.926,4.959,3.930,10.757,10.647,Leader: cruise | Follower: follow
66,6.700,leader,22.181,follower,11.343,4.979,4.175,10.837,11.113,Leader: cruise | Follower: brake (too close)
67,6.800,leader,22.676,follower,11.748,4.951,4.046,10.928,10.865,Leader: cruise | Follower: follow
68,6.900,leader,23.174,follower,12.181,4.985,4.331,10.993,11.414,Leader: cruise | Follower: brake (too close)
69,7.000,leader,23.670,follower,12.601,4.956,4.196,11.069,11.153,Leader: cruise | Follower: brake (too close)
70,7.100,leader,24.165,follower,13.007,4.954,4.067,11.158,10.904,Leader: cruise | Follower: follow
71,7.200,leader,24.663,follower,13.433,4.979,4.260,11.230,11.276,Leader: cruise | Follower: brake (too close)
72,7.300,leader,25.161,follower,13.846,4.977,4.128,11.315,11.022,Leader: cruise | Follower: follow
73,7.400,leader,25.658,follower,14.274,4.971,4.282,11.384,11.320,Leader: cruise | Follower: follow
74,7.500,leader,26.157,follower,14.726,4.985,4.521,11.430,11.792,Leader: cruise | Follower: brake (too close)
75,7.600,leader,26.655,follower,15.165,4.983,4.381,11.490,11.513,Leader: cruise | Follower: brake (too close)
76,7.700,leader,27.154,follower,15.589,4.995,4.245,11.565,11.248,Leader: cruise | Follower: follow
77,7.800,leader,27.651,follower,16.032,4.967,4.428,11.619,11.607,Leader: cruise | Follower: follow
78,7.900,leader,28.150,follower,16.494,4.986,4.621,11.656,11.994,Leader: cruise | Follower: brake (too close)
79,8.000,leader,28.649,follower,16.942,4.994,4.478,11.707,11.706,Leader: cruise | Follower: follow
80,8.100,leader,29.148,follower,17.406,4.993,4.646,11.742,12.044,Leader: cruise | Follower: brake (too close)
81,8.200,leader,29.646,follower,17.857,4.981,4.502,11.790,11.754,Leader: cruise | Follower: follow
82,8.300,leader,30.146,follower,18.331,4.998,4.743,11.815,12.244,Leader: cruise | Follower: brake (too close)
83,8.400,leader,30.643,follower,18.791,4.966,4.597,11.852,11.944,Leader: cruise | Follower: brake (too close)
84,8.500,leader,31.139,follower,19.236,4.958,4.454,11.903,11.659,Leader: cruise | Follower: follow
85,8.600,leader,31.634,follower,19.706,4.955,4.703,11.928,12.160,Leader: cruise | Follower: brake (too close)
86,8.700,leader,32.131,follower,20.162,4.967,4.557,11.969,11.865,Leader: cruise | Follower: follow
87,8.800,leader,32.628,follower,20.644,4.971,4.816,11.984,12.392,Leader: cruise | Follower: brake (too close)
88,8.900,leader,33.126,follower,21.110,4.981,4.667,12.016,12.086,Leader: cruise | Follower: brake (too close)
89,9.000,leader,33.623,follower,21.562,4.970,4.522,12.061,11.794,Leader: cruise | Follower: follow
90,9.100,leader,34.122,follower,22.032,4.995,4.694,12.091,12.141,Leader: cruise | Follower: brake (too close)
91,9.200,leader,34.619,follower,22.487,4.968,4.548,12.133,11.847,Leader: cruise | Follower: follow
92,9.300,leader,35.115,follower,22.963,4.953,4.766,12.151,12.290,Leader: cruise | Follower: brake (too close)
93,9.400,leader,35.614,follower,23.425,4.999,4.618,12.189,11.988,Leader: cruise | Follower: follow
94,9.500,leader,36.110,follower,23.910,4.956,4.846,12.200,12.455,Leader: cruise | Follower: brake (too close)
95,9.600,leader,36.606,follower,24.379,4.955,4.696,12.226,12.146,Leader: cruise | Follower: follow
96,9.700,leader,37.104,follower,24.867,4.983,4.876,12.237,12.518,Leader: cruise | Follower: brake (too close)
97,9.800,leader,37.601,follower,25.339,4.976,4.725,12.262,12.206,Leader: cruise | Follower: follow
98,9.900,leader,38.101,follower,25.832,5.000,4.927,12.269,12.623,Leader: cruise | Follower: brake (too close)
99,10.000,leader,38.597,follower,26.309,4.954,4.774,12.287,12.307,Leader: cruise | Follower: brake (too close)
100,10.100,leader,39.094,follower,26.772,4.976,4.626,12.322,12.004,Leader: cruise | Follower: follow
101,10.200,leader,39.592,follower,27.263,4.979,4.909,12.329,12.587,Leader: cruise | Follower: brake (too close)
102,10.300,leader,40.088,follower,27.739,4.957,4.757,12.349,12.272,Leader: cruise | Follower: follow
103,10.400,leader,40.586,follower,28.230,4.980,4.908,12.357,12.584,Leader: cruise | Follower: brake (too close)
104,10.500,leader,41.084,follower,28.705,4.976,4.756,12.379,12.269,Leader: cruise | Follower: follow
105,10.600,leader,41.580,follower,29.204,4.961,4.986,12.376,12.749,Leader: cruise | Follower: brake (too close)
106,10.700,leader,42.076,follower,29.687,4.958,4.832,12.389,12.426,Leader: cruise | Follower: brake (too close)
107,10.800,leader,42.575,follower,30.155,4.990,4.682,12.419,12.119,Leader: cruise | Follower: follow
108,10.900,leader,43.072,follower,30.649,4.978,4.934,12.424,12.639,Leader: cruise | Follower: brake (too close)
