step,time_s,veh,lane_pos_m,speed_mps,lead_of_this,gap_m,safe_m,action
2,3.000,leader,4.600,0.000,,,4.000,leader_state:normal
3,4.000,leader,5.338,0.738,,,4.799,leader_state:normal
4,5.000,leader,6.738,1.400,,,5.618,leader_state:normal
5,6.000,main_flow_e_w.0,216.337,13.890,,,39.327,free
5,6.000,leader,8.909,2.171,,,6.694,leader_state:normal
6,7.000,main_flow_e_w.0,229.050,12.713,,,34.670,free
6,7.000,leader,12.019,3.110,,,8.184,leader_state:normal
7,8.000,main_flow_e_w.0,238.166,9.117,,,22.352,free
7,8.000,leader,15.974,3.956,,,9.694,leader_state:normal
8,9.000,main_flow_e_w.0,241.283,3.117,,,8.196,free
8,9.000,main_flow_e_w.1,172.993,13.890,main_flow_e_w.0,68.290,39.327,brake_to_lead:main_flow_e_w.0
8,9.000,leader,20.654,4.680,,,11.113,leader_state:normal
9,10.000,main_flow_e_w.0,241.729,0.446,,,4.468,free
9,10.000,main_flow_e_w.1,183.292,10.299,main_flow_e_w.0,58.437,26.084,brake_to_lead:main_flow_e_w.0
9,10.000,leader,26.205,5.551,,,12.976,leader_state:normal
10,11.000,main_flow_e_w.0,241.787,0.057,,,4.058,free
10,11.000,main_flow_e_w.1,190.307,7.015,main_flow_e_w.0,51.480,16.482,brake_to_lead:main_flow_e_w.0
10,11.000,leader,32.482,6.277,,,14.655,leader_state:normal
10,11.000,side_flow_s_n.0,1.801,9.273,leader,223.374,22.826,follow_free
11,12.000,main_flow_e_w.0,241.795,0.008,,,4.008,free
11,12.000,main_flow_e_w.1,195.003,4.696,main_flow_e_w.0,46.792,11.145,brake_to_lead:main_flow_e_w.0
11,12.000,main_flow_e_w.2,119.323,11.543,main_flow_e_w.1,75.680,30.346,brake_to_lead:main_flow_e_w.1
11,12.000,leader,39.731,7.248,,,17.086,leader_state:normal
11,12.000,side_flow_s_n.0,10.919,9.118,leader,214.625,22.355,follow_free
12,13.000,main_flow_e_w.0,241.798,0.004,,,4.004,free
12,13.000,main_flow_e_w.1,198.136,3.133,main_flow_e_w.0,43.663,8.224,brake_to_lead:main_flow_e_w.0
12,13.000,main_flow_e_w.2,128.583,9.260,main_flow_e_w.1,69.553,22.788,brake_to_lead:main_flow_e_w.1
12,13.000,leader,47.398,7.668,,,18.200,leader_state:normal
12,13.000,side_flow_s_n.0,18.949,8.030,leader,205.882,19.195,follow_free
13,14.000,main_flow_e_w.0,241.799,0.000,,,4.000,free
13,14.000,main_flow_e_w.1,200.226,2.090,main_flow_e_w.0,41.573,6.575,brake_to_lead:main_flow_e_w.0
13,14.000,main_flow_e_w.2,135.801,7.218,main_flow_e_w.1,64.425,17.006,brake_to_lead:main_flow_e_w.1
