step,time_s,vehicle_id,lane_pos_m,speed_mps,leader_of_this_vehicle,gap_to_leader_m,safe_dist_m,action
5,0.600,leader,4.741,0.464,,,5.488,leader_state:normal
6,0.700,leader,4.798,0.563,,,5.598,leader_state:normal
7,0.800,leader,4.862,0.638,,,5.684,leader_state:normal
8,0.900,leader,4.935,0.729,,,5.788,leader_state:normal
9,1.000,leader,5.015,0.807,,,5.879,leader_state:normal
10,1.100,leader,5.102,0.873,,,5.958,leader_state:normal
11,1.200,leader,5.200,0.973,,,6.078,leader_state:normal
12,1.300,leader,5.304,1.039,,,6.159,leader_state:normal
13,1.400,leader,5.415,1.116,,,6.254,leader_state:normal
14,1.500,leader,5.535,1.193,,,6.351,leader_state:normal
15,1.600,leader,5.661,1.265,,,6.442,leader_state:normal
16,1.700,leader,5.796,1.351,,,6.554,leader_state:normal
17,1.800,leader,5.941,1.448,,,6.682,leader_state:normal
18,1.900,leader,6.091,1.505,,,6.756,leader_state:normal
19,2.000,leader,6.250,1.589,,,6.869,leader_state:normal
20,2.100,leader,6.416,1.654,,,6.959,leader_state:normal
21,2.200,leader,6.591,1.752,,,7.093,leader_state:normal
22,2.300,leader,6.774,1.826,,,7.197,leader_state:normal
23,2.400,leader,6.965,1.911,,,7.317,leader_state:normal
24,2.500,leader,7.163,1.979,,,7.415,leader_state:normal
25,2.600,leader,7.366,2.032,,,7.491,leader_state:normal
26,2.700,leader,7.575,2.091,,,7.577,leader_state:normal
27,2.800,leader,7.790,2.147,,,7.659,leader_state:normal
28,2.900,leader,8.012,2.227,,,7.778,leader_state:normal
29,3.000,leader,8.242,2.300,,,7.888,leader_state:normal
30,3.100,leader,8.481,2.388,,,8.022,leader_state:normal
31,3.200,leader,8.730,2.486,,,8.173,leader_state:normal
32,3.300,leader,8.987,2.571,,,8.306,leader_state:normal
33,3.400,leader,9.250,2.633,,,8.403,leader_state:normal
34,3.500,leader,9.523,2.725,,,8.550,leader_state:normal
35,3.600,leader,9.801,2.777,,,8.634,leader_state:normal
36,3.700,leader,10.088,2.876,,,8.795,leader_state:normal
37,3.800,leader,10.382,2.942,,,8.903,leader_state:normal
38,3.900,leader,10.685,3.025,,,9.042,leader_state:normal
39,4.000,leader,10.997,3.119,,,9.199,leader_state:normal
40,4.100,leader,11.318,3.212,,,9.359,leader_state:normal
41,4.200,leader,11.647,3.292,,,9.496,leader_state:normal
41,4.200,follower_01,4.600,0.000,leader,7.047,5.000,follow
42,4.300,leader,11.981,3.343,,,9.586,leader_state:normal
42,4.300,follower_01,4.630,0.296,leader,7.352,5.306,follow
43,4.400,leader,12.325,3.432,,,9.741,leader_state:normal
43,4.400,follower_01,4.689,0.591,leader,7.636,5.630,follow
44,4.500,leader,12.675,3.504,,,9.868,leader_state:normal
44,4.500,follower_01,4.777,0.880,leader,7.898,5.966,follow
45,4.600,leader,13.031,3.563,,,9.974,leader_state:normal
45,4.600,follower_01,4.894,1.175,leader,8.137,6.328,follow
46,4.700,leader,13.394,3.630,,,10.094,leader_state:normal
46,4.700,follower_01,5.036,1.422,leader,8.358,6.647,follow
47,4.800,leader,13.764,3.700,,,10.221,leader_state:normal
47,4.800,follower_01,5.203,1.663,leader,8.561,6.970,follow
48,4.900,leader,14.140,3.753,,,10.318,leader_state:normal
48,4.900,follower_01,5.390,1.868,leader,8.750,7.256,follow
49,5.000,leader,14.523,3.838,,,10.474,leader_state:normal
49,5.000,follower_01,5.601,2.115,leader,8.922,7.612,follow
50,5.100,leader,14.914,3.909,,,10.606,leader_state:normal
50,5.100,follower_01,5.841,2.395,leader,9.074,8.032,follow
51,5.200,leader,15.310,3.961,,,10.704,leader_state:normal
51,5.200,follower_01,6.107,2.660,leader,9.204,8.446,follow
52,5.300,leader,15.713,4.029,,,10.833,leader_state:normal
52,5.300,follower_01,6.384,2.778,leader,9.329,8.636,follow
53,5.400,leader,16.126,4.128,,,11.020,leader_state:normal
53,5.400,follower_01,6.672,2.877,leader,9.454,8.797,follow
54,5.500,leader,16.546,4.200,,,11.160,leader_state:normal
54,5.500,follower_01,6.963,2.907,leader,9.583,8.846,follow
55,5.600,leader,16.976,4.297,,,11.348,leader_state:normal
55,5.600,follower_01,7.276,3.135,leader,9.699,9.226,follow
56,5.700,leader,17.410,4.347,,,11.447,leader_state:normal
56,5.700,follower_01,7.600,3.237,leader,9.810,9.401,follow
57,5.800,leader,17.853,4.430,,,11.611,leader_state:normal
57,5.800,follower_01,7.937,3.369,leader,9.917,9.630,follow
58,5.900,leader,18.304,4.502,,,11.754,leader_state:normal
